Time,PACKAGED ROOFTOP AIR CONDITIONER:DesPer 1:Des Heat Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 1:Des Heat Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 1:Des Cool Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 1:Des Sens Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 1:Des Tot Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 2:Des Heat Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 2:Des Heat Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 2:Des Cool Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 2:Des Sens Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 2:Des Tot Cool Cap [W]
07:10:00,4.330748E-02,7.950430E+02,4.851372E-02,4.472332E+02,1.011496E+03,2.804462E-01,7.318105E+03,4.330748E-02,0.000000E+00,0.000000E+00
07:20:00,4.330748E-02,7.822197E+02,5.323822E-02,5.132232E+02,1.113369E+03,2.768982E-01,7.250325E+03,4.330748E-02,0.000000E+00,0.000000E+00
07:30:00,4.330748E-02,7.693964E+02,5.810928E-02,5.808624E+02,1.216429E+03,2.732211E-01,7.180088E+03,4.330748E-02,0.000000E+00,0.000000E+00
07:40:00,4.330748E-02,7.565731E+02,8.097453E-02,8.509908E+02,1.642329E+03,2.592065E-01,6.912443E+03,4.330748E-02,0.000000E+00,0.000000E+00
07:50:00,4.330748E-02,7.437499E+02,8.626256E-02,9.233119E+02,1.721897E+03,2.552873E-01,6.837560E+03,4.330748E-02,0.000000E+00,0.000000E+00
08:00:00,4.330748E-02,7.309266E+02,9.332177E-02,1.015569E+03,1.847687E+03,2.513092E-01,6.761578E+03,4.330748E-02,0.000000E+00,0.000000E+00
08:10:00,4.330748E-02,7.165947E+02,8.428980E-02,9.282698E+02,1.711398E+03,2.582621E-01,6.894335E+03,4.330748E-02,0.000000E+00,0.000000E+00
08:20:00,4.330748E-02,7.022628E+02,8.264076E-02,9.240524E+02,1.698274E+03,2.612951E-01,6.952268E+03,4.330748E-02,0.000000E+00,0.000000E+00
08:30:00,4.330748E-02,6.879309E+02,8.100132E-02,9.199395E+02,1.684368E+03,2.645356E-01,7.014158E+03,4.330748E-02,0.000000E+00,0.000000E+00
08:40:00,4.330748E-02,6.735990E+02,6.156471E-02,7.155482E+02,1.361872E+03,2.781770E-01,7.274666E+03,4.330748E-02,0.000000E+00,0.000000E+00
